Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2017,Acura,MDX Hybrid AWD,Sport utility vehicle: Small,3.0,6,AM7,Z,9.1,9.0,9.0,31,210,6.0,6.0
2017,Acura,MDX SH-AWD,Sport utility vehicle: Small,3.5,6,AS9,Z,12.6,9.0,11.0,26,259,4.0,6.0
2017,Acura,MDX SH-AWD Elite,Sport utility vehicle: Small,3.5,6,AS9,Z,12.2,9.0,10.7,26,251,5.0,6.0
2017,Acura,NSX,Two-seater,3.5,6,AM9,Z,11.1,10.8,11.0,26,261,4.0,6.0
2017,Acura,RDX AWD,Sport utility vehicle: Small,3.5,6,AS6,Z,12.4,8.7,10.7,26,250,5.0,6.0
2017,Acura,TLX,Compact,2.4,4,AM8,Z,9.6,6.6,8.3,34,197,6.0,6.0
2017,Acura,TLX SH-AWD,Compact,3.5,6,AS9,Z,11.2,7.5,9.6,29,226,5.0,6.0
2017,Alfa Romeo,4C,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,6.0,5.0
2017,Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,6.0,5.0
2017,Alfa Romeo,Giulia,Mid-size,2.0,4,A8,Z,10.0,7.2,8.7,32,205,6.0,6.0
2017,Alfa Romeo,Giulia AWD,Mid-size,2.0,4,A8,Z,10.5,7.7,9.2,31,217,6.0,6.0
2017,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.8,9.6,11.9,24,280,4.0,6.0
2017,Audi,A3 quattro,Subcompact,2.0,4,AM6,X,9.7,7.5,8.7,32,205,6.0,8.0
2017,Audi,A3 Cabriolet quattro,Subcompact,2.0,4,AM6,X,10.8,8.0,9.5,30,223,5.0,8.0
2017,Audi,A4 quattro,Compact,2.0,4,AM7,Z,9.8,7.7,8.8,32,205,6.0,6.0
2017,Audi,A4 quattro,Compact,2.0,4,M6,Z,9.9,7.0,8.6,33,204,6.0,6.0
2017,Audi,A4 allroad quattro,Station wagon: Small,2.0,4,AM7,Z,10.2,8.3,9.3,30,217,6.0,6.0
2017,Audi,A5 quattro,Subcompact,2.0,4,AS8,Z,11.0,8.0,9.7,29,226,5.0,6.0
2017,Audi,A5 quattro,Subcompact,2.0,4,M6,Z,10.4,7.3,9.0,31,210,6.0,6.0
2017,Audi,A5 Cabriolet quattro,Subcompact,2.0,4,AS8,Z,11.3,8.2,9.9,29,231,5.0,6.0
2017,Audi,A6 quattro,Mid-size,2.0,4,AS8,Z,10.9,7.5,9.4,30,220,5.0,7.0
2017,Audi,A6 quattro,Mid-size,3.0,6,AS8,Z,11.5,8.2,10.0,28,238,5.0,6.0
2017,Audi,A7 quattro,Mid-size,3.0,6,AS8,Z,11.5,8.2,10.0,28,238,5.0,6.0
2017,Audi,A8,Mid-size,3.0,6,AS8,Z,12.6,8.0,10.5,27,246,5.0,6.0
2017,Audi,A8,Mid-size,4.0,8,AS8,Z,12.9,8.0,10.7,26,249,5.0,6.0
2017,Audi,A8L,Full-size,4.0,8,AS8,Z,13.1,8.3,10.9,26,255,5.0,6.0
2017,Audi,Q3,Compact,2.0,4,AS6,Z,11.9,8.4,10.3,27,243,5.0,6.0
2017,Audi,Q3 quattro,Compact,2.0,4,AS6,Z,11.9,8.4,10.3,27,241,5.0,6.0
2017,Audi,Q5,Sport utility vehicle: Small,2.0,4,AS8,Z,12.0,8.6,10.5,27,246,5.0,6.0
2017,Audi,Q5,Sport utility vehicle: Small,3.0,6,AS8,Z,13.2,9.2,11.4,25,267,4.0,6.0
2017,Audi,Q7,Sport utility vehicle: Standard,2.0,4,AS8,Z,11.9,9.6,10.8,26,253,5.0,6.0
2017,Audi,Q7,Sport utility vehicle: Standard,3.0,6,AS8,Z,12.6,9.4,11.1,25,260,4.0,5.0
2017,Audi,RS 7,Mid-size,4.0,8,AS8,Z,16.2,9.3,13.1,22,309,3.0,6.0
2017,Audi,S3,Subcompact,2.0,4,AM6,Z,11.0,8.5,9.9,29,232,5.0,6.0
