Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,CO2 emissions (g/km),CO2 rating,Smog rating,fuel_efficiency_score,engine_displacement_per_cylinder,estimated_weight,power_to_weight_ratio,city_highway_diff,engine_efficiency,cylinder_efficiency
2017,Acura,MDX Hybrid AWD,Sport utility vehicle: Small,3.0,6,AM7,Z,210,6.0,6.0,11.11111111111111,0.5,900.0,0.0033333333333333335,0.09999999999999964,70.0,35.0
2017,Acura,MDX SH-AWD,Sport utility vehicle: Small,3.5,6,AS9,Z,259,4.0,6.0,9.090909090909092,0.5833333333333334,1050.0,0.0033333333333333335,3.5999999999999996,74.0,43.166666666666664
2017,Acura,MDX SH-AWD Elite,Sport utility vehicle: Small,3.5,6,AS9,Z,251,5.0,6.0,9.345794392523365,0.5833333333333334,1050.0,0.0033333333333333335,3.1999999999999993,71.71428571428571,41.833333333333336
2017,Acura,NSX,Two-seater,3.5,6,AM9,Z,261,4.0,6.0,9.090909090909092,0.5833333333333334,735.0,0.004761904761904762,0.29999999999999893,74.57142857142857,43.5
2017,Acura,RDX AWD,Sport utility vehicle: Small,3.5,6,AS6,Z,250,5.0,6.0,9.345794392523365,0.5833333333333334,1050.0,0.0033333333333333335,3.700000000000001,71.42857142857143,41.666666666666664
2017,Acura,TLX,Compact,2.4,4,AM8,Z,197,6.0,6.0,12.048192771084336,0.6,576.0,0.004166666666666667,3.0,82.08333333333334,49.25
2017,Acura,TLX SH-AWD,Compact,3.5,6,AS9,Z,226,5.0,6.0,10.416666666666668,0.5833333333333334,840.0,0.004166666666666667,3.6999999999999993,64.57142857142857,37.666666666666664
2017,Alfa Romeo,4C,Two-seater,1.8,4,AM6,Z,197,6.0,5.0,11.904761904761905,0.45,378.0,0.004761904761904762,2.799999999999999,109.44444444444444,49.25
2017,Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,Z,197,6.0,5.0,11.904761904761905,0.45,378.0,0.004761904761904762,2.799999999999999,109.44444444444444,49.25
2017,Alfa Romeo,Giulia,Mid-size,2.0,4,A8,Z,205,6.0,6.0,11.49425287356322,0.5,600.0,0.0033333333333333335,2.8,102.5,51.25
2017,Alfa Romeo,Giulia AWD,Mid-size,2.0,4,A8,Z,217,6.0,6.0,10.869565217391305,0.5,600.0,0.0033333333333333335,2.8,108.5,54.25
2017,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,280,4.0,6.0,8.403361344537815,0.48333333333333334,870.0,0.003333333333333333,4.200000000000001,96.55172413793103,46.666666666666664
2017,Audi,A3 quattro,Subcompact,2.0,4,AM6,X,205,6.0,8.0,11.49425287356322,0.5,336.0,0.005952380952380952,2.1999999999999993,102.5,51.25
2017,Audi,A3 Cabriolet quattro,Subcompact,2.0,4,AM6,X,223,5.0,8.0,10.526315789473685,0.5,336.0,0.005952380952380952,2.8000000000000007,111.5,55.75
2017,Audi,A4 quattro,Compact,2.0,4,AM7,Z,205,6.0,6.0,11.363636363636363,0.5,480.0,0.004166666666666667,2.1000000000000005,102.5,51.25
2017,Audi,A4 quattro,Compact,2.0,4,M6,Z,204,6.0,6.0,11.627906976744187,0.5,480.0,0.004166666666666667,2.9000000000000004,102.0,51.0
2017,Audi,A4 allroad quattro,Station wagon: Small,2.0,4,AM7,Z,217,6.0,6.0,10.75268817204301,0.5,660.0,0.0030303030303030303,1.8999999999999986,108.5,54.25
2017,Audi,A5 quattro,Subcompact,2.0,4,AS8,Z,226,5.0,6.0,10.309278350515465,0.5,336.0,0.005952380952380952,3.0,113.0,56.5
2017,Audi,A5 quattro,Subcompact,2.0,4,M6,Z,210,6.0,6.0,11.11111111111111,0.5,336.0,0.005952380952380952,3.1000000000000005,105.0,52.5
2017,Audi,A5 Cabriolet quattro,Subcompact,2.0,4,AS8,Z,231,5.0,6.0,10.1010101010101,0.5,336.0,0.005952380952380952,3.1000000000000014,115.5,57.75
2017,Audi,A6 quattro,Mid-size,2.0,4,AS8,Z,220,5.0,7.0,10.638297872340425,0.5,600.0,0.0033333333333333335,3.4000000000000004,110.0,55.0
2017,Audi,A6 quattro,Mid-size,3.0,6,AS8,Z,238,5.0,6.0,10.0,0.5,900.0,0.0033333333333333335,3.3000000000000007,79.33333333333333,39.666666666666664
2017,Audi,A7 quattro,Mid-size,3.0,6,AS8,Z,238,5.0,6.0,10.0,0.5,900.0,0.0033333333333333335,3.3000000000000007,79.33333333333333,39.666666666666664
2017,Audi,A8,Mid-size,3.0,6,AS8,Z,246,5.0,6.0,9.523809523809524,0.5,900.0,0.0033333333333333335,4.6,82.0,41.0
2017,Audi,A8,Mid-size,4.0,8,AS8,Z,249,5.0,6.0,9.345794392523365,0.5,1200.0,0.0033333333333333335,4.9,62.25,31.125
2017,Audi,A8L,Full-size,4.0,8,AS8,Z,255,5.0,6.0,9.174311926605505,0.5,1440.0,0.002777777777777778,4.799999999999999,63.75,31.875
